topic,subject,finding,value,confidence,source,note
sub500_conf_finalist,2022 Ole Miss,"CWS finalist+champion with a sub-.500 conference record",14-16 SEC (.467); unseeded,REPORTED,champions.csv + ESPN SEC,Known reference case. Beat Oklahoma in 2022 finals. (Some sources cite 13-16 mid-season; final 14-16.)
sub500_conf_finalist,2026 Oklahoma,"CWS finalist with a sub-.500 conference record",14-16 SEC (.467); unseeded,CONFIRMED,Wikipedia 2026 MCWS + OU cume,Known reference case (current). 11th in the SEC; at-large bid. 2026 finals runner-up-or-champion TBD (Game 3 pending).
sub500_conf_finalist,2014 Vanderbilt,"CWS champion with a non-winning conference record","17-13 SEC (.567) - NOT sub-.500",ESTIMATED,champions.csv,Listed for contrast: Vandy 2014 was unseeded but its SEC record was winning (17-13); does NOT qualify as sub-.500.
hr_power_surge,1998 tournament (pre-2000),"Most home runs in a single CWS tournament (all teams) - peak gorilla-ball",62 HR (entire tournament),REPORTED,ESPN/SABR scoring history,"All-tournament record from the gorilla-ball/aluminum-bat era; predates the 2000 cutoff but is the documented HR ceiling. Modern BBCOR bats (2011+) sharply reduced totals."
hr_power_surge,2021 Mississippi State,"Documented single-team CWS home-run surge en route to title",14 HR in the College World Series,REPORTED,NCAA.com / search aggregate,"Cited as a prolific Omaha power run during MSU's title; exact ranking vs other teams not on a single definitive NCAA list."
hr_power_surge,2024 Tennessee,"HR-driven champion; finals HR milestone",Dreiling HR in all 3 finals games (1st ever),CONFIRMED,NCAA.com / search aggregate,"Tennessee's 2024 title was HR-driven (led nation in HR that season); Dylan Dreiling became the first player to homer in all three MCWS finals games. Team single-tournament HR total not on a clean record list."
hr_power_surge,no_definitive_list,"A single authoritative modern (post-2000) single-team CWS-tournament HR record list",NOT_FOUND,NOT_FOUND,n/a,"NCAA record book tracks per-GAME and per-PLAYER HR records, plus all-time totals, but a clean ranked list of single-team HR totals for one CWS by year was not located. Do not fabricate a ranking."
finalists_since_2000,2000-2025 champions and runners-up,"Full CWS finals matchup list (champion vs runner-up) since 2000",see note,CONFIRMED,Wikipedia CWS finals table,"2000 LSU d Stanford; 2001 Miami d Stanford; 2002 Texas d South Carolina; 2003 Rice d Stanford; 2004 Cal St Fullerton d Texas; 2005 Texas d Florida; 2006 Oregon St d UNC; 2007 Oregon St d UNC; 2008 Fresno St d Georgia; 2009 LSU d Texas; 2010 South Carolina d UCLA; 2011 South Carolina d Florida; 2012 Arizona d South Carolina; 2013 UCLA d Mississippi St; 2014 Vanderbilt d Virginia; 2015 Virginia d Vanderbilt; 2016 Coastal Carolina d Arizona; 2017 Florida d LSU; 2018 Oregon St d Arkansas; 2019 Vanderbilt d Michigan; 2020 canceled; 2021 Mississippi St d Vanderbilt; 2022 Ole Miss d Oklahoma; 2023 LSU d Florida; 2024 Tennessee d Texas A&M; 2025 LSU d Coastal Carolina."
runner_up_note,North Carolina,"UNC prior CWS finals appearances (runner-up history)",2006 and 2007 runner-up (both to Oregon State),CONFIRMED,Wikipedia CWS finals table,"UNC has reached the finals twice before (2006, 2007), losing both to Oregon State. 2026 is UNC's first finals appearance since 2007 and a chance at a first title."
runner_up_note,Oklahoma,"OU prior CWS finals appearance",2022 runner-up (lost to Ole Miss),CONFIRMED,champions.csv / Wikipedia,"OU lost the 2022 finals to Ole Miss (swept 2-0). 2026 is OU's return to the finals; OU's last title was 1994."
notable_finalist_since2000,2019 Michigan,"Less-common finalist - Big Ten runner-up",2019 runner-up to Vanderbilt,CONFIRMED,Wikipedia CWS finals table,Michigan's 2019 run was the first Big Ten finals appearance in decades - an unusual non-southern/non-coastal finalist.
notable_finalist_since2000,2016/2025 Coastal Carolina,"Mid-major finalist - Coastal Carolina",2016 champion; 2025 runner-up,CONFIRMED,Wikipedia CWS finals table,"Coastal (Sun Belt/now-context) won it all in 2016 as a No. 5 seed and returned as 2025 runner-up to LSU - a rare mid-major finals presence."
