section,item,value,detail,confidence,source,note
RETURNING,Allyssa Parker,P/UTIL - SO 2027 (elig thru 2029),Two-way: 5-1 pitching + .328 / 11 HR; #2 in 2025 recruiting class,CONFIRMED,soonerstats.com,"NOT the same as Ella Parker. accessed 2026-06-22"
RETURNING,Gabbie Garcia,SS - JR 2027,Projected foundation infielder,REPORTED,soonersports.com roster,"accessed 2026-06-22"
LOSS,Sam Landry,Pitcher - GONE (pro),"2025 grad-senior ace (25-6, 1.94 ERA at OU); drafted #1 overall 2025 AUSL Draft; now Portland Cascade. Did NOT pitch for OU in 2026",CONFIRMED,theausl.com + ESPN,"Premise note: Landry was OU's ace in 2025 ONLY. accessed 2026-06-22"
LOSS,Kasidi Pickering,OF - TRANSFERRED OUT to Texas Tech,"2026: 20 HR, 61 RBI; 'biggest individual loss' (power bat); announced ~Jun 18 2026",CONFIRMED,On3 + News9,"accessed 2026-06-22"
LOSS,Graduated seniors,5 players,"Ailana Agbayani (2B), Sydney Berzon (P), Abby Dayton (LF), Kierston Deal (P), Isabela Emerling (C)",CONFIRMED,Wikipedia + AUSL draft results,"accessed 2026-06-22"
LOSS,Went pro (AUSL 2026),Agbayani drafted; others reserve pool,"Agbayani Rd 3 to Chicago Bandits (May 4 2026); Berzon/Dayton/Emerling provisional/reserve pool only",CONFIRMED,theausl.com 2026 College Draft results,"accessed 2026-06-22"
LOSS,Net loss profile,Concentrated on offense / positions,"Lost Pickering (power), Agbayani (2B), Dayton (LF); pitching well-protected (both aces return)",ESTIMATED,project synthesis,"accessed 2026-06-22"
RECRUITING,2026 class (arrives 2027),On3 #1 nationally,"Headlined by OF Payton Westra (On3 #1 overall) + 3 pitchers (EK Smith, Keegan Baker, Malaya Majam-Finch)",CONFIRMED,soonersports.com Nov 12 2025,"3rd straight ~#1 class straddling the SEC move. accessed 2026-06-22"
RECRUITING,2027 class,Leads EIS class rankings (numeric rank paywalled),"4 five-star commits incl. C/3B Goose Hutchens (On3 #1, in-state, U-18 World Cup MVP) + OF Finlee Williams (On3 #2); ZERO pitching commits so far",CONFIRMED (individuals),Extra Inning Softball + On3,"Team numeric rank = NOT_FOUND (paywalled). accessed 2026-06-22"
RECRUITING,SEC-era verdict,Recruiting HELD at elite tier,"No evidence of a slip; counter-signal: missed 5-star LHP Vivian Knott to Stanford (Oct 2025)",REPORTED,On3 + Softball America,"Possible Ori Mailo de-commit = flag. accessed 2026-06-22"
TRANSFER_IN,Position adds (2027),3 players added,"OF Macie Harter (MTSU, .346/7 HR/19 SB); OF Adi Hansen (JUCO All-American, 62 SB); C Abbie Gregus (Loyola Chicago, depth)",CONFIRMED,SI portal tracker Jun 18-19 2026,"accessed 2026-06-22"
TRANSFER_IN,Pitching add (2027),NONE as of portal close,"No transfer pitcher added despite it being stated #1 need; late add still possible - re-verify after Jun 22 2026",CONFIRMED,SI / OU Daily / Yahoo,"Critical gap. The 'No.4 transfer class' in search = STALE 2025 cycle. accessed 2026-06-22"
CASE,BULL,Title #9 contention by 2028-2029,"Gasso locked thru 2028 + deepest young core (Minor/Wells/A.Parker elig thru 2029) + returning 1-2 of Lowry/Guachino + back-to-back ~#1 classes (Westra 2027, Hutchens/Williams 2028). Recruiting clearly held in SEC.",ESTIMATED,project synthesis,"accessed 2026-06-22"
CASE,BASE,Perennial top-5 to top-8; reliable WCWS contender not auto-favorite,"High floor from returning core + elite recruiting, but replacing Pickering's power + finding a true ace + SEC depth means gap between 'in WCWS' and 'winning it' is real. 2027 a reload year ramping to peak 2028-2029.",ESTIMATED,project synthesis + historical base rate,"accessed 2026-06-22"
CASE,BEAR,Slips to 'very good but beatable' SEC tier; transition risk 2029-2030,"2026 cracks compound: lost best power bat (Pickering) + 3 lineup regulars, NO transfer ace + ZERO 2027 pitching commits, Rocha status unresolved. If Lowry/Guachino plateau + young bats don't develop, OU settles into mid-pack; Gasso retirement near 2028 expiry w/ no named successor = real risk.",ESTIMATED,project synthesis + 2026 precedent,"accessed 2026-06-22"
UNCERTAINTY,Open flags,Re-check before fall 2026,"Portal still open (pitcher add possible); Rocha return unknown; possible Ori Mailo de-commit; Gasso plans past 2028 unannounced; Tia Milloy transfer destination unknown",NOT_FOUND,web search June 2026,"All roster/recruiting data point-in-time to ~2026-06-22. accessed 2026-06-22"
